,Cuenta_n,Subcuenta_n,Objeto_n,Ordinal_n,TOTAL,Código de entidad,Código de sector,Tipo de gasto,Entidad,Sector,Cuenta,Subcuenta,Objeto,Ordinal,Rubro
14,2.0,,,,559254496.0,211,2,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,Presidencia de la república,Adquisición de bienes y servicios,,,,Adquisición de bienes y servicios
15,3.0,3.0,1.0,999,43695637546.0,211,2,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,Presidencia de la república,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias distribución previo concepto dgppn,Otras transferencias distribución previo concepto dgppn
16,8.0,1.0,,,10000000.0,211,2,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,Presidencia de la república,"Gastos por tributos. multas, sanciones e intereses de mora",Impuestos,,,Impuestos
17,207.0,1000.0,12.0,10201b,18143000.0,211,2,Inversión,Unidad nacional para la gestión del riesgo de desastres,Presidencia de la república,Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de la política nacional de gestión del riesgo de desastres mediante la valoración del impacto de la implementación del pngrd. nacional,"I. ordenamiento del territorio alrededor del agua y justicia ambiental b. democratización del conocimiento, la información ambiental` de riesgo de desastres","I. ordenamiento del territorio alrededor del agua y justicia ambiental b. democratización del conocimiento, la información ambiental` de riesgo de desastres"
18,207.0,1000.0,13.0,10201b,44516500.0,211,2,Inversión,Unidad nacional para la gestión del riesgo de desastres,Presidencia de la república,Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de los procesos sociales de participación ciudadana. gestión de conocimientos y saberes y divulgación en el marco del sistema nacional de gestión del riesgo de desastre. nacional,1. ordenamiento del territorio alrededor del agua y justicia ambiental/ democratización del conocimiento. la información ambiental y de riesgo de desastres,1. ordenamiento del territorio alrededor del agua y justicia ambiental/ democratización del conocimiento. la información ambiental y de riesgo de desastres
19,3.0,3.0,1.0,1,18130110747.0,212,2,Funcionamiento,Agencia para la reincorporación y la normalización - arn,Presidencia de la república,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz: programa de reintegración social y económica,Fondo de programas especiales para la paz: programa de reintegración social y económica
20,2.0,,,,100000000.0,213,2,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,Presidencia de la república,Adquisición de bienes y servicios,,,,Adquisición de bienes y servicios
21,3.0,3.0,1.0,999,3212000000.0,213,2,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,Presidencia de la república,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias distribución previo concepto dgppn,Otras transferencias distribución previo concepto dgppn
22,8.0,1.0,,,71000000.0,213,2,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,Presidencia de la república,"Gastos por tributos. multas, sanciones e intereses de mora",Impuestos,,,Impuestos
23,209.0,1000.0,4.0,51101b,496991511.0,213,2,Inversión,Agencia nacional inmobiliaria virgilio barco vargas,Presidencia de la república,Fortalecimiento de la infraestructura física de las entidades del estado del nivel nacional desde el sector presidencia,Intersubsectorial gobierno,Desarrollo y formulación de proyectos estratégicos derenovación y desarrollo urbano en municipios y distritos de colombia nacional,5. convergencia regional/b revitalización en los procesos de transformación y aprovechamiento de la ciudad construida,5. convergencia regional/b revitalización en los procesos de transformación y aprovechamiento de la ciudad construida
24,2.0,,,,300000000.0,214,2,Funcionamiento,Agencia de renovación del territorio - art,Presidencia de la república,Adquisición de bienes y servicios,,,,Adquisición de bienes y servicios
25,2.0,,,,250000000.0,214,2,Funcionamiento,Agencia de renovación del territorio - art,Presidencia de la república,Adquisición de bienes y servicios,,,,Adquisición de bienes y servicios
26,212.0,1000.0,10.0,51202j,100000000.0,214,2,Inversión,Agencia de renovación del territorio - art,Presidencia de la república,Renovación territorial para el desarrollo integral de las zonas rurales afectadas por el conflicto armado,Intersubsectorial gobierno,Apoyo a la implementacion y financiacion de los programas de desarrollo con enfoque territorial pdet en los territorios priorizados a nivel nacional,5. convergencia regional/. integración de los territorios más afectados por el conflicto a las apuestas estratégicas de desarrollo regional de acuerdo con la reforma rural integral,5. convergencia regional/. integración de los territorios más afectados por el conflicto a las apuestas estratégicas de desarrollo regional de acuerdo con la reforma rural integral
27,212.0,1000.0,11.0,51202j,45806944.0,214,2,Inversión,Agencia de renovación del territorio - art,Presidencia de la república,Renovación territorial para el desarrollo integral de las zonas rurales afectadas por el conflicto armado,Intersubsectorial gobierno,Optimizacion de la medicion del avance en la implementacion de los pdet nacional,5. convergencia regional/ integración de los territorios mas afectados por el conflicto a las apuestas estratégicas de desarrollo regional de acuerdo con la reforma rural integral,5. convergencia regional/ integración de los territorios mas afectados por el conflicto a las apuestas estratégicas de desarrollo regional de acuerdo con la reforma rural integral
28,212.0,1000.0,12.0,51202j,11956954263.0,214,2,Inversión,Agencia de renovación del territorio - art,Presidencia de la república,Renovación territorial para el desarrollo integral de las zonas rurales afectadas por el conflicto armado,Intersubsectorial gobierno,Contribución al cierre de brechas a través de la implementación de proyectos para la transformacion y la vida en los territorios pdet nacional,5. convergencia regional/j integración de los territorios más afectados por el conflicto a las apuestas estratégicas de desarrollo regional de acuerdo con la reforma rural integral,5. convergencia regional/j integración de los territorios más afectados por el conflicto a las apuestas estratégicas de desarrollo regional de acuerdo con la reforma rural integral
29,299.0,1000.0,,53105b,100000000.0,214,2,Inversión,Agencia de renovación del territorio - art,Presidencia de la república,Fortalecimiento de la gestión y dirección del sector presidencia,Fortalecimiento de las herramientas tecnológicas para el cumplimiento y soporte de los lineamientos establecidos por el gobierno en materia de tecnologías de la información nacional,,,Fortalecimiento de las herramientas tecnológicas para el cumplimiento y soporte de los lineamientos establecidos por el gobierno en materia de tecnologías de la información nacional
30,301.0,1000.0,18.0,51102b,51863374242.0,301,3,Inversión,Departamento administrativo nacional de planeación,Planeación,Mejoramiento de la planeación territorial sectorial y de inversión pública,Intersubsectorial gobierno,Apoyo al desarrollo de proyectos a través del fondo regional para los contratos plan. nacional,5. convergencia regional/e planeación y gestión territorial inteligente,5. convergencia regional/e planeación y gestión territorial inteligente
31,301.0,1000.0,20.0,51102e,8000000000.0,301,3,Inversión,Departamento administrativo nacional de planeación,Planeación,Mejoramiento de la planeación territorial sectorial y de inversión pública,Intersubsectorial gobierno,Fortalecimiento de las entidades territoriales nacional,5. convergencia regional/ planeación y gestión territorial inteligente,5. convergencia regional/ planeación y gestión territorial inteligente
32,301.0,1000.0,31.0,53105b,24750000000.0,301,3,Inversión,Departamento administrativo nacional de planeación,Planeación,Mejoramiento de la planeación territorial sectorial y de inversión pública,Intersubsectorial gobierno,Apoyo presupuestal a entidades pertenecientes al presupuesto general de la nacion en la implementacion de proyectos de inversión a nivel nacional [distribucion previo concepto dnp,5. convergencia regional/b entidades públicas territoriales y nacionales fortalecidas,5. convergencia regional/b entidades públicas territoriales y nacionales fortalecidas
33,301.0,1000.0,33.0,53105f,509028389.0,301,3,Inversión,Departamento administrativo nacional de planeación,Planeación,Mejoramiento de la planeación territorial sectorial y de inversión pública,Intersubsectorial gobierno,Fortalecimiento del ciclo de las politicas publicas sectoriales e intersectoriales para el desarrollo nacional,5. convergencia regional/ eficiencia institucional para el cumplimiento de los acuerdos realizados con las comunidades,5. convergencia regional/ eficiencia institucional para el cumplimiento de los acuerdos realizados con las comunidades
34,301.0,1000.0,34.0,53105b,289900000.0,301,3,Inversión,Departamento administrativo nacional de planeación,Planeación,Mejoramiento de la planeación territorial sectorial y de inversión pública,Intersubsectorial gobierno,Mejoramiento de los resultados de la gestion publica territorial a nivel nacional,5. convergencia regional b. entidades públicas territoriales y nacionales fortalecidas,5. convergencia regional b. entidades públicas territoriales y nacionales fortalecidas
35,301.0,1000.0,35.0,53105f,572234000.0,301,3,Inversión,Departamento administrativo nacional de planeación,Planeación,Mejoramiento de la planeación territorial sectorial y de inversión pública,Intersubsectorial gobierno,Modernizacion de la vision de largo plazo en la planeacion intersectorial a nivel nacional,5. convergencia regional/f eficiencia institucional para el cumplimiento de los acuerdos realizados con las comunidades,5. convergencia regional/f eficiencia institucional para el cumplimiento de los acuerdos realizados con las comunidades
36,301.0,1000.0,38.0,53105f,3455295955.0,301,3,Inversión,Departamento administrativo nacional de planeación,Planeación,Mejoramiento de la planeación territorial sectorial y de inversión pública,Intersubsectorial gobierno,Aprovechamiento de la información del seguimiento y la evaluación de políticas públicas para la toma de decisiones basadas en evidencia. a nivel nacional,5. convergencia regional/ eficiencia institucional para el cumplimiento de los acuerdos realizados con las comunidades,5. convergencia regional/ eficiencia institucional para el cumplimiento de los acuerdos realizados con las comunidades
37,301.0,1000.0,40.0,803001,2300000000.0,301,3,Inversión,Departamento administrativo nacional de planeación,Planeación,Mejoramiento de la planeación territorial sectorial y de inversión pública,Intersubsectorial gobierno,Fortalecimiento de la gestión de la inversión pública a nivel territorial y nacional,8. estabilidad macroeconómica administración eficiente de los recursos públicos,8. estabilidad macroeconómica administración eficiente de los recursos públicos
38,399.0,1000.0,8.0,53105b,14206726000.0,301,3,Inversión,Departamento administrativo nacional de planeación,Planeación,Fortalecimiento de la gestión y dirección del sector planeación,Intersubsectorial gobierno,Fortalecimiento de las tic para el cumplimiento de los objetivos del dnp a nivel nacional,5. convergencia regional/b entidades públicas territoriales y nacionales fortalecidas,5. convergencia regional/b entidades públicas territoriales y nacionales fortalecidas
39,399.0,1000.0,9.0,53105b,345372708.0,301,3,Inversión,Departamento administrativo nacional de planeación,Planeación,Fortalecimiento de la gestión y dirección del sector planeación,Intersubsectorial gobierno,"Fortalecimiento institucional de la planeación, gestión y evaluación del dnp a nivel nacional",5. convergencia regional/e entidades públicas territoriales y nacionales fortalecidas,5. convergencia regional/e entidades públicas territoriales y nacionales fortalecidas
40,2.0,,,,135000000.0,303,3,Funcionamiento,Unidad administrativa especial - agencia nacional de contratación pública - colombia compra eficiente,Planeación,Adquisición de bienes y servicios,,,,Adquisición de bienes y servicios
41,304.0,1000.0,3.0,53105a,2298256788.0,303,3,Inversión,Unidad administrativa especial - agencia nacional de contratación pública - colombia compra eficiente,Planeación,Fortalecimiento del sistema de compra pública,Intersubsectorial gobierno,Generación efectividad y transparencia en las plataformas de compra pública nacional,5. convergencia regional/a lucha contra la corrupción en las entidades públicas nacionales y territoriales,5. convergencia regional/a lucha contra la corrupción en las entidades públicas nacionales y territoriales
42,401.0,1003.0,31.0,20104d,263000000.0,401,4,Inversión,Departamento administrativo nacional de estadística (dane),Información estadistíca,Levantamiento y actualización de información estadística de calidad,Planificación y estadística,Fortalecimiento de la producción de información estadística analizada nacional,2. seguridad humana y justicia social/ datos sectoriales para aumentar el aprovechamiento de datos en el país,2. seguridad humana y justicia social/ datos sectoriales para aumentar el aprovechamiento de datos en el país
43,401.0,1003.0,33.0,20104d,165339144.0,401,4,Inversión,Departamento administrativo nacional de estadística (dane),Información estadistíca,Levantamiento y actualización de información estadística de calidad,Planificación y estadística,Ampliación de la capacidad del dane para la coordinación del sistema estadístico nacional sen nacional nacional,2. seguridad humana y justicia social/ d. datos sectoriales para aumentar el aprovechamiento de datos en país,2. seguridad humana y justicia social/ d. datos sectoriales para aumentar el aprovechamiento de datos en país
44,401.0,1003.0,34.0,20104d,3000000000.0,401,4,Inversión,Departamento administrativo nacional de estadística (dane),Información estadistíca,Levantamiento y actualización de información estadística de calidad,Planificación y estadística,Producción de información estructural nacional,2. seguridad humana y justicia social/d. datos sectoriales para aumentar el aprovechamiento de datos en el país,2. seguridad humana y justicia social/d. datos sectoriales para aumentar el aprovechamiento de datos en el país
45,401.0,1003.0,35.0,20104d,320000000.0,401,4,Inversión,Departamento administrativo nacional de estadística (dane),Información estadistíca,Levantamiento y actualización de información estadística de calidad,Planificación y estadística,Optimización de la capacidad del dane en sus procesos de recolección y acopio de la información estadística oficial nacional,2. seguridad humana y justicia social/ d. datos sectoriales para aumentar el aprovechamiento de datos en el país,2. seguridad humana y justicia social/ d. datos sectoriales para aumentar el aprovechamiento de datos en el país
46,499.0,1003.0,8.0,53105b,250000000.0,401,4,Inversión,Departamento administrativo nacional de estadística (dane),Información estadistíca,Fortalecimiento de la gestión y dirección del sector información estadística,Planificación y estadística,Modernización de la gestión documental del dane nacional,5. convergencia regional/ entidades públicas territoriales y nacionales fortalecidas,5. convergencia regional/ entidades públicas territoriales y nacionales fortalecidas
47,499.0,1003.0,9.0,53105b,350000000.0,401,4,Inversión,Departamento administrativo nacional de estadística (dane),Información estadistíca,Fortalecimiento de la gestión y dirección del sector información estadística,Planificación y estadística,Fortalecimiento de la capacidad institucional para la implementación del modelo de gestión nacional,5. convergencia regional/e entidades públicas territoriales y nacionales fortalecidas,5. convergencia regional/e entidades públicas territoriales y nacionales fortalecidas
48,404.0,1003.0,2.0,10305b,20236732011.0,403,4,Inversión,Instituto geográfico agustín codazzi - igac,Información estadistíca,"Levantamiento, actualización y administracion de la información catastral",Planificación y estadística,Actualización y gestión catastral nacional,1. ordenamiento del territorio alrededor del agua y justicia ambiental b. actualización catastral multipropósito,1. ordenamiento del territorio alrededor del agua y justicia ambiental b. actualización catastral multipropósito
49,406.0,1003.0,1.0,10305b,66991408641.0,403,4,Inversión,Instituto geográfico agustín codazzi - igac,Información estadistíca,Generación de la información geográfica del territorio nacional,Planificación y estadística,Levantamiento generacion y actualizacion de la red geodesica nacional y la cartografia del pais como herramienta fundamental para el establecimiento de politicas de desarrollo nacional,1. ordenamiento del territorio alrededor del agua y justicia ambiental actualización catastral multipropósito,1. ordenamiento del territorio alrededor del agua y justicia ambiental actualización catastral multipropósito
50,406.0,1003.0,2.0,10305b,172201466.0,403,4,Inversión,Instituto geográfico agustín codazzi - igac,Información estadistíca,Generación de la información geográfica del territorio nacional,Planificación y estadística,Fortalecimiento de la gestion del conocimiento y la innovacion en el ambito geografico del territorio nacional,I. ordenamiento del territorio alrededor del agua y justicia ambiental b. actualización catastral multipropósito,I. ordenamiento del territorio alrededor del agua y justicia ambiental b. actualización catastral multipropósito
51,406.0,1003.0,3.0,10305b,1501648258.0,403,4,Inversión,Instituto geográfico agustín codazzi - igac,Información estadistíca,Generación de la información geográfica del territorio nacional,Planificación y estadística,Desarrollo de estudios de suelos. tierras y aplicaciones agrologicas como insumo para el ordenamiento integral y el manejo sostenible del territorio nacional,1. ordenamiento del territorio alrededor del agua y justicia ambiental/ b. actualización catastral multipropósito,1. ordenamiento del territorio alrededor del agua y justicia ambiental/ b. actualización catastral multipropósito
52,406.0,1003.0,4.0,10305b,172123486.0,403,4,Inversión,Instituto geográfico agustín codazzi - igac,Información estadistíca,Generación de la información geográfica del territorio nacional,Planificación y estadística,"Generacion de estudios geograficos e investigaciones para la caracterizacion, analisis y delimitacion geografica del territorio nacional nacional",I. ordenamiento del territorio alrededor del agua y justicia ambiental/ actualización catastral multipropósito,I. ordenamiento del territorio alrededor del agua y justicia ambiental/ actualización catastral multipropósito
53,505.0,1000.0,6.0,53105b,4164544.0,501,5,Inversión,Departamento administrativo de la función pública,Empleo público,Fortalecimiento de la gestión pública en las entidades nacionales y territoriales,Intersubsectorial gobierno,Formulación fortalecimiento de las capacidades institucionales para la prestación optima de un servicio público de calidad a las ciudadanías bogota,5. convergencia regional/b. entidades públicas territoriales y nacionales fortalecidas,5. convergencia regional/b. entidades públicas territoriales y nacionales fortalecidas
54,599.0,1000.0,7.0,53105b,1186114.0,501,5,Inversión,Departamento administrativo de la función pública,Empleo público,Fortalecimiento de la gestión y dirección del sector empleo público,Intersubsectorial gobierno,"Transformación db las administraciones públicas mediante el desarrollo de políticas y lineamientos que permitan el. fortalecimiento de los componentes de la función administrativa, la función pública la gestión pública nacional",5. convergencia regional/ entidades públicas territoriales y nacionales fortalecidas,5. convergencia regional/ entidades públicas territoriales y nacionales fortalecidas
55,2.0,,,,7500000000.0,1101,11,Funcionamiento,Ministerio de relaciones exteriores,Relaciones exteriores,Adquisición de bienes y servicios,,,,Adquisición de bienes y servicios
56,2.0,,,,31405707440.0,1102,11,Funcionamiento,Fondo rotatorio del ministerio de relaciones exteriores,Relaciones exteriores,Adquisición de bienes y servicios,,,,Adquisición de bienes y servicios
57,3.0,2.0,2.0,,29251602405.0,1102,11,Funcionamiento,Fondo rotatorio del ministerio de relaciones exteriores,Relaciones exteriores,Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,,A organizaciones internacionales
58,3.0,3.0,1.0,999,10000000000.0,1102,11,Funcionamiento,Fondo rotatorio del ministerio de relaciones exteriores,Relaciones exteriores,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias distribución previo concepto dgppn,Otras transferencias distribución previo concepto dgppn
59,1103.0,1002.0,8.0,53108a,188019153.0,1102,11,Inversión,Fondo rotatorio del ministerio de relaciones exteriores,Relaciones exteriores,Política migratoria y servicio al ciudadano,Relaciones exteriores,Fortalecimiento del desarrollo de iniciativas institucionales para la colombianidad en el exterior y sus familias nacional,5. convergencia regional a oferta de servicios para la población colombiana en eu exterior y retornada,5. convergencia regional a oferta de servicios para la población colombiana en eu exterior y retornada
60,1104.0,1002.0,3.0,51402f,404661770.0,1102,11,Inversión,Fondo rotatorio del ministerio de relaciones exteriores,Relaciones exteriores,Soberanía territorial y desarrollo fronterizo,Relaciones exteriores,Implementación de proyectos de desarrollo socialy económico en las zonas de frontera. nacional,"5. convergencia regional/f fronteras humanas para la vida, la integracion y el desarrollo","5. convergencia regional/f fronteras humanas para la vida, la integracion y el desarrollo"
61,1199.0,1002.0,8.0,53105b,1416104247.0,1102,11,Inversión,Fondo rotatorio del ministerio de relaciones exteriores,Relaciones exteriores,Fortalecimiento de la gestión y dirección del sector relaciones exteriores,Relaciones exteriores,Relaciones exteriores para el desarrollo de los objetivos misionales nacional,5. convergencia regional/b entidades públicas territoriales y nacionales fortalecidas,5. convergencia regional/b entidades públicas territoriales y nacionales fortalecidas
62,3.0,3.0,1.0,56,104000000.0,1104,11,Funcionamiento,Unidad administrativa especial migración colombia,Relaciones exteriores,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Deportación a extranjeros,Deportación a extranjeros
63,1103.0,1002.0,4.0,51102f,1119404848.0,1104,11,Inversión,Unidad administrativa especial migración colombia,Relaciones exteriores,Política migratoria y servicio al ciudadano,Relaciones exteriores,"Fortalecimiento de la infraestructura de la uaemc para la adecuada prestación de los servicios migratorios en condiciones de inclusión, seguridad y bienestar a nivel nacional","5. convergencia regional/f fronteras humanas para la vida, la integración y el desarrollo","5. convergencia regional/f fronteras humanas para la vida, la integración y el desarrollo"
64,1199.0,1002.0,12.0,53105b,11485625061.0,1104,11,Inversión,Unidad administrativa especial migración colombia,Relaciones exteriores,Fortalecimiento de la gestión y dirección del sector relaciones exteriores,Relaciones exteriores,Fortalecimiento de las capacidades y evolución de las tecnologías de la información en migración colombia nacional,5. convergencia regional/ entidades públicas territoriales y nacionales fortalecidas,5. convergencia regional/ entidades públicas territoriales y nacionales fortalecidas
65,1199.0,1002.0,13.0,53105b,45000000.0,1104,11,Inversión,Unidad administrativa especial migración colombia,Relaciones exteriores,Fortalecimiento de la gestión y dirección del sector relaciones exteriores,Relaciones exteriores,Optimización de las capacidades estratégicas institucionales de migración colombia a nivel nacional,5. convergencia regional/ entidades públicas territoriales y nacionales fortalecidas,5. convergencia regional/ entidades públicas territoriales y nacionales fortalecidas
66,1199.0,1002.0,14.0,53105b,1751802529.0,1104,11,Inversión,Unidad administrativa especial migración colombia,Relaciones exteriores,Fortalecimiento de la gestión y dirección del sector relaciones exteriores,Relaciones exteriores,Optimización de los procesos de gestión documental en uaemc a nivel nacional,5. convergencia regional/b entidades públicas territoriales y nacionales fortalecidas,5. convergencia regional/b entidades públicas territoriales y nacionales fortalecidas
67,1199.0,1002.0,15.0,53105b,182500000.0,1104,11,Inversión,Unidad administrativa especial migración colombia,Relaciones exteriores,Fortalecimiento de la gestión y dirección del sector relaciones exteriores,Relaciones exteriores,Consolidación y fortalecimiento de la gestión del talento humano de migración colombia a nivel nacional,5. convergencia regional/ entidades públicas territoriales y nacionales fortalecidas,5. convergencia regional/ entidades públicas territoriales y nacionales fortalecidas
68,1.0,2.0,4.0,,1893807836.0,1201,12,Funcionamiento,Ministerio de justicia y del derecho,Justicia y el derecho,Gastos de personal,Personal supernumerario y planta temporal,Otros gastos de personal-distribución previo concepto dgppn,,Otros gastos de personal-distribución previo concepto dgppn
69,2.0,,,,2716257518.0,1201,12,Funcionamiento,Ministerio de justicia y del derecho,Justicia y el derecho,Adquisición de bienes y servicios,,,,Adquisición de bienes y servicios
70,3.0,2.0,2.0,,67277948.0,1201,12,Funcionamiento,Ministerio de justicia y del derecho,Justicia y el derecho,Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,,A organizaciones internacionales
71,3.0,3.0,1.0,28,3235269.0,1201,12,Funcionamiento,Ministerio de justicia y del derecho,Justicia y el derecho,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo para la lucha contra las drogas,Fondo para la lucha contra las drogas
72,3.0,3.0,1.0,63,14231861354.0,1201,12,Funcionamiento,Ministerio de justicia y del derecho,Justicia y el derecho,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,"Fondo para la rehabilitación, inversión social y lucha contra el crimen organizado","Fondo para la rehabilitación, inversión social y lucha contra el crimen organizado"
73,3.0,4.0,1.0,12,12783852.0,1201,12,Funcionamiento,Ministerio de justicia y del derecho,Justicia y el derecho,Transferencias corrientes,Prestaciones para cubrir riesgos sociales,Prestaciones de asistencia social atención integral a la población,Desplazada en cumplimiento de la sentencia t-025 de 2004 (no de pensiones),Desplazada en cumplimiento de la sentencia t-025 de 2004 (no de pensiones)
74,3.0,10.0,,,3000000000.0,1201,12,Funcionamiento,Ministerio de justicia y del derecho,Justicia y el derecho,Transferencias corrientes,Sentencias y conciliaciones,,,Sentencias y conciliaciones
75,8.0,1.0,,,52662.0,1201,12,Funcionamiento,Ministerio de justicia y del derecho,Justicia y el derecho,"Gastos por tributos. multas, sanciones e intereses de mora",Impuestos,,,Impuestos
76,8.0,3.0,,,9667000.0,1201,12,Funcionamiento,Ministerio de justicia y del derecho,Justicia y el derecho,"Gastos por tributos. multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,Tasas y derechos administrativos
77,1204.0,800.0,5.0,20113b1,131200291.0,1201,12,Inversión,Ministerio de justicia y del derecho,Justicia y el derecho,Justicia transicional,Intersubsectorial justicia,Fortalecimiento de la articulación institucional en la aplicación db los mecanismos de justicia transicional a nivel nacional,2. seguridad humana y justicia social b. oferta institucional y de los mecanismos de justicia transicional acceso efectivo a la justicia,2. seguridad humana y justicia social b. oferta institucional y de los mecanismos de justicia transicional acceso efectivo a la justicia
